lot_id,n_predecessors,n_successors,is_terminal,is_root
L000414,8,0,True,False
L000415,8,0,True,False
L000416,8,0,True,False
L000417,8,0,True,False
L000418,8,0,True,False
L000419,8,0,True,False
L000420,8,0,True,False
L000421,8,0,True,False
L000422,8,0,True,False
L000423,8,0,True,False
L000424,8,0,True,False
L000425,8,0,True,False
L000426,8,0,True,False
L000427,8,0,True,False
L000428,8,0,True,False
L000429,8,0,True,False
L000430,8,0,True,False
L000431,8,0,True,False
L000432,8,0,True,False
L000433,8,0,True,False
L000434,8,0,True,False
L000435,8,0,True,False
L000436,8,0,True,False
L000437,8,0,True,False
L000438,8,0,True,False
L000439,8,0,True,False
L000440,8,0,True,False
L000441,8,0,True,False
L000442,8,0,True,False
L000443,8,0,True,False
L000444,8,0,True,False
L000445,8,0,True,False
L000446,8,0,True,False
L000447,8,0,True,False
L000448,8,0,True,False
L000449,8,0,True,False
L000450,6,7,False,False
L000451,5,7,False,False
L000452,1,6,False,False
L000453,1,4,False,False
L000454,1,6,False,False
L000455,1,8,False,False
L000456,1,2,False,False
L000457,10,14,False,False
L000458,1,6,False,False
L000459,3,7,False,False
L000460,1,2,False,False
L000461,1,1,False,False
L000462,0,1,False,True
L000463,1,2,False,False
L000464,1,1,False,False
L000465,5,7,False,False
L000466,1,3,False,False
L000467,1,2,False,False
L000468,5,25,False,False
L000469,0,25,False,True
L000470,1,5,False,False
L000471,0,11,False,True
L000472,0,10,False,True
L000473,0,13,False,True
L000474,0,6,False,True
L000475,1,6,False,False
L000476,0,13,False,True
L000477,0,6,False,True
L000478,1,9,False,False
L000479,0,6,False,True
L000480,1,7,False,False
L000481,0,13,False,True
L000482,1,11,False,False
L000483,0,6,False,True
L000484,0,8,False,True
L000485,0,9,False,True
L000486,0,6,False,True
L000487,4,7,False,False
L000488,1,2,False,False
L000489,1,8,False,False
L000490,5,14,False,False
L000491,1,2,False,False
L000492,1,2,False,False
L000493,1,2,False,False
L000494,12,14,False,False
L000495,1,14,False,False
L000496,1,12,False,False
L000497,1,8,False,False
L000498,1,6,False,False
L000499,1,6,False,False
L000500,1,8,False,False
L000501,1,9,False,False
L000502,1,9,False,False
L000503,6,7,False,False
L000504,5,7,False,False
L000505,3,7,False,False
L000506,1,2,False,False
L000507,1,1,False,False
L000508,0,1,False,True
L000509,1,1,False,False
L000510,5,7,False,False
L000511,4,7,False,False
L000512,6,7,False,False
L000513,5,7,False,False
L000514,1,6,False,False
L000515,11,14,False,False
L000516,3,7,False,False
L000517,1,2,False,False
L000518,1,1,False,False
L000519,0,1,False,True
L000520,1,1,False,False
L000521,5,7,False,False
L000522,1,5,False,False
L000523,4,7,False,False
L000524,7,14,False,False
L000525,14,14,False,False
L000526,6,7,False,False
L000527,5,7,False,False
L000528,1,6,False,False
L000529,3,7,False,False
