block_id,sku,need_by,wave_id
B01532,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B01533,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B01534,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B01535,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B01536,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B01537,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B01538,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B01539,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B01540,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B01541,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B01542,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B01543,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B01544,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B01545,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B01546,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B01547,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B01548,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B01549,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B01550,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B01551,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B01552,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B01553,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B01554,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B01669,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B01670,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B01671,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B01672,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B01673,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B01674,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B01675,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B01676,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B01677,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B01678,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B01679,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B01680,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B01681,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B01682,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B01683,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B01684,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B01685,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B01686,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B01687,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B01688,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B01689,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B01690,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B01691,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B01692,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B01693,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B01694,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B01695,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B01696,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B01697,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B01698,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B01699,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B01700,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B01701,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B01702,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B01703,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B01704,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B01705,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B01706,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B01707,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B01708,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B01709,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B01710,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B01711,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B01712,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B01713,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B01714,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B01715,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B01716,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B01717,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B01718,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
